cluster,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,0.17788110403397026,0.18166666666666667,0.18159023354564754,0.19033545647558386,0.19740339702760085,0.20359235668789807,0.20440976645435244,0.20226326963906582,0.19796178343949045,0.18821656050955415,0.17587261146496816,0.16409341825902335,0.15184288747346072,0.14791932059447985,0.1405583864118896,0.13048619957537155,0.12584713375796178,0.1283524416135881,0.13376008492569003,0.1420764331210191,0.15364118895966028,0.16545010615711253,0.17302335456475584,0.1796135881104034
2,0.73856,0.7456222222222223,0.7502888888888889,0.7542311111111111,0.7511333333333333,0.7479111111111111,0.7486711111111111,0.7466844444444444,0.7395466666666667,0.7336755555555555,0.7238711111111111,0.7156444444444445,0.70964,0.7117466666666666,0.7068177777777778,0.6954177777777778,0.6860622222222222,0.6859955555555555,0.6872888888888888,0.6952133333333333,0.7086311111111111,0.7187644444444444,0.7191644444444445,0.7168399999999999
3,0.524604743083004,0.5512845849802371,0.5729565217391305,0.5933478260869565,0.6036205533596838,0.6091739130434783,0.6087865612648221,0.6018300395256917,0.5857747035573122,0.5606047430830039,0.5254545454545454,0.4901067193675889,0.46717786561264824,0.46088142292490114,0.4429446640316205,0.4182885375494071,0.4047272727272727,0.4056166007905138,0.41697628458498026,0.44094861660079054,0.46763636363636363,0.49296837944664035,0.510197628458498,0.5273438735177866
4,0.5139367088607595,0.4751898734177215,0.42382911392405065,0.3993227848101266,0.38222784810126587,0.37468354430379747,0.3799240506329114,0.38554430379746835,0.4054620253164557,0.44654430379746834,0.5169746835443038,0.5886012658227848,0.6388291139240506,0.688886075949367,0.7387721518987341,0.7783544303797468,0.8016012658227848,0.7884620253164557,0.7380189873417722,0.6791898734177215,0.6505696202531646,0.6310443037974683,0.5994177215189873,0.5545696202531646
5,0.3305075376884422,0.34219597989949746,0.34675376884422116,0.3605502512562814,0.3685854271356784,0.3733065326633166,0.37491206030150753,0.3713040201005025,0.3625427135678392,0.34565326633165827,0.32394974874371857,0.30297989949748744,0.2839422110552764,0.2778291457286432,0.2672814070351759,0.251535175879397,0.24381658291457287,0.24830150753768843,0.2569195979899498,0.2717035175879397,0.2914396984924623,0.3083643216080402,0.31875376884422113,0.3268492462311558
