n_clusters,wcss
1,1881.5513340664447
2,694.3046275234525
3,512.7834995675875
4,412.8070287897561
5,346.17265277816404
6,297.630231743284
7,267.7615291184386
8,246.8876425083766
9,230.19367429067304
10,215.94730192191625
