n_clusters,wcss
1,2036.2076401952193
2,1033.0740945113982
3,690.6111237733261
4,521.031338473458
5,447.4842716053584
6,395.49066232536234
7,354.6507662765504
8,321.5422700825904
9,296.15341064585215
10,274.9235743061363
