cluster,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,0.20722200000000002,0.21149600000000002,0.219174,0.228208,0.23537,0.23615,0.235196,0.227176,0.197564,0.16671799999999998,0.166432,0.16202,0.151894,0.148536,0.149076,0.14670599999999998,0.14338399999999998,0.139902,0.139964,0.154968,0.17432599999999998,0.19191999999999998,0.197932,0.201352
2,0.6235490909090909,0.6211127272727273,0.61548,0.6081163636363637,0.6019672727272727,0.60152,0.5996218181818181,0.5917818181818182,0.5773272727272728,0.6135818181818182,0.6596727272727273,0.6713527272727273,0.66628,0.6701054545454546,0.6751381818181819,0.6774327272727273,0.6732581818181818,0.6532654545454545,0.6240727272727273,0.6309054545454545,0.6550254545454546,0.6653963636363637,0.6507672727272727,0.6332
3,0.7432457142857144,0.7568114285714286,0.76172,0.7637885714285715,0.7630171428571428,0.75708,0.7406285714285715,0.6756971428571429,0.5051885714285714,0.37225714285714284,0.3561142857142857,0.34772,0.33977714285714283,0.3485314285714286,0.3579371428571429,0.36457142857142855,0.3778914285714286,0.39660571428571434,0.4433485714285714,0.5192685714285714,0.5924742857142857,0.6481257142857143,0.6807714285714286,0.7146514285714285
4,0.2622037037037037,0.25620740740740744,0.2539148148148148,0.2528592592592593,0.25299259259259255,0.2577777777777778,0.2695370370370371,0.2998148148148148,0.4188222222222222,0.6282444444444445,0.7367925925925926,0.7554592592592593,0.7316185185185186,0.7225111111111111,0.728874074074074,0.7143259259259259,0.6743407407407408,0.5892259259259259,0.4507703703703704,0.3671185185185185,0.3414111111111111,0.3228814814814815,0.29286296296296294,0.2647851851851852
5,0.48880769230769233,0.5086608391608392,0.5196853146853146,0.5263811188811188,0.5276643356643357,0.5207937062937062,0.5031503496503497,0.4350314685314685,0.281493006993007,0.18959440559440557,0.17626923076923076,0.16842657342657344,0.16185664335664338,0.16594405594405595,0.17183566433566436,0.17420279720279722,0.1802132867132867,0.19025524475524475,0.21733916083916083,0.26774125874125876,0.32224475524475527,0.37236713286713286,0.4079965034965035,0.448027972027972
