,cluster,hour,avg_rel_avail
0,1,0,0.2427971602434077
1,2,0,0.6156944444444444
2,3,0,0.7553546511627907
3,4,0,0.2705263157894736
4,5,0,0.5043736263736264
5,1,1,0.2479594320486815
6,2,1,0.6135138888888889
7,3,1,0.770982558139535
8,4,1,0.2648007518796992
9,5,1,0.5258278388278388
10,1,2,0.2561338742393509
11,2,2,0.6083124999999999
12,3,2,0.7773313953488372
13,4,2,0.2623533834586466
14,5,2,0.5378424908424908
15,1,3,0.26573630831643
16,2,3,0.6016979166666666
17,3,3,0.779656976744186
18,4,3,0.261015037593985
19,5,3,0.5443846153846154
20,1,4,0.2730243407707911
21,2,4,0.5957847222222222
22,3,4,0.7781162790697675
23,4,4,0.2608496240601504
24,5,4,0.5447435897435897
25,1,5,0.2732210953346856
26,2,5,0.59503125
27,3,5,0.77175
28,4,5,0.2648872180451128
29,5,5,0.538084249084249
30,1,6,0.2715496957403651
31,2,6,0.5933055555555555
32,3,6,0.7540174418604652
33,4,6,0.275172932330827
34,5,6,0.5212747252747253
35,1,7,0.2631298174442191
36,2,7,0.5876909722222222
37,3,7,0.6911337209302325
38,4,7,0.3024060150375939
39,5,7,0.4600805860805861
40,1,8,0.2344584178498985
41,2,8,0.5767534722222222
42,3,8,0.5308720930232558
43,4,8,0.4089172932330827
44,5,8,0.3232014652014652
45,1,9,0.2025334685598377
46,2,9,0.6108506944444445
47,3,9,0.4007558139534884
48,4,9,0.6165827067669173
49,5,9,0.2289157509157509
50,1,10,0.201210953346856
51,2,10,0.6548819444444445
52,3,10,0.3821453488372093
53,4,10,0.7258834586466165
54,5,10,0.2144542124542124
55,1,11,0.1968843813387424
56,2,11,0.66628125
57,3,11,0.3713779069767442
58,4,11,0.7448834586466165
59,5,11,0.2061135531135531
60,1,12,0.1858194726166328
61,2,12,0.6631180555555556
62,3,12,0.3596046511627907
63,4,12,0.7242894736842105
64,5,12,0.1976043956043956
65,1,13,0.1819371196754563
66,2,13,0.66790625
67,3,13,0.3650988372093023
68,4,13,0.7164473684210526
69,5,13,0.199003663003663
70,1,14,0.1813002028397566
71,2,14,0.6719375
72,3,14,0.3723197674418604
73,4,14,0.7219135338345865
74,5,14,0.2023223443223443
75,1,15,0.1783975659229209
76,2,15,0.6744826388888889
77,3,15,0.3774244186046511
78,4,15,0.708172932330827
79,5,15,0.2032747252747253
80,1,16,0.174525354969574
81,2,16,0.6715972222222222
82,3,16,0.3867906976744186
83,4,16,0.6717406015037594
84,5,16,0.2075494505494505
85,1,17,0.170314401622718
86,2,17,0.6535937500000001
87,3,17,0.4014883720930232
88,4,17,0.5911015037593985
89,5,17,0.2155934065934066
90,1,18,0.1695172413793103
91,2,18,0.6255555555555555
92,3,18,0.4454651162790698
93,4,18,0.4523308270676692
94,5,18,0.2393663003663003
95,1,19,0.1864381338742393
96,2,19,0.6322430555555556
97,3,19,0.5197441860465116
98,4,19,0.3705864661654135
99,5,19,0.2874945054945055
100,1,20,0.2073569979716024
101,2,20,0.6545659722222221
102,3,20,0.5928720930232558
103,4,20,0.3451992481203007
104,5,20,0.34003663003663
105,1,21,0.2255476673427991
106,2,21,0.6629618055555555
107,3,21,0.6491802325581396
108,4,21,0.3269699248120301
109,5,21,0.3875091575091575
110,1,22,0.2322109533468559
111,2,22,0.6476736111111111
112,3,22,0.685406976744186
113,4,22,0.2995375939849624
114,5,22,0.4216886446886447
115,1,23,0.2358823529411765
116,2,23,0.6288611111111111
117,3,23,0.7222674418604651
118,4,23,0.2724736842105263
119,5,23,0.4611611721611722
